title,news,index,url
Jack Carr recalls Gen. Eisenhower's D-Day memo about 'great and noble undertaking',fox,0,https://www.foxnews.com/lifestyle/jack-carrs-eisenhower-d-days-memo-noble-undertaking
"Bruce Willis, Demi Moore avoided doing one thing while co-parenting, daughter says",fox,1,https://www.foxnews.com/entertainment/bruce-willis-demi-moore-avoided-doing-one-thing-while-co-parenting-daughter-says
"Blinken meets Qatar PM, says Israeli actions are not 'retaliation,' but 'defending the lives of its people'",fox,2,https://www.foxnews.com/politics/blinken-meets-with-qatars-prime-minister.print
"Emily Blunt says her ‘toes curl’ when people tell her their kids want to act: 'I want to say, don’t do it!'",fox,3,https://www.foxnews.com/entertainment/emily-blunt-says-toes-curl-when-people-their-kids-want-act-want-say-dont-do-it
"'The View' co-host, CNN commentator Ana Navarro to host night 2 of Democratic National Convention",fox,4,https://www.foxnews.com/media/the-view-co-host-cnn-commentator-ana-navarro-host-night-2-democratic-national-convention
Striking Boeing workers boo after Democratic Sen. Maria Cantwell criticizes Trump,fox,5,https://www.foxnews.com/politics/striking-boeing-workers-boo-after-democrat-sen-maria-cantwell-criticizes-trump.print
"White House grilled on Harris' gun ownership, mandatory gun buybacks",fox,6,https://www.foxnews.com/politics/white-house-grilled-harris-gun-ownership-mandatory-gun-buybacks.print
"Tom Cotton turns tables on CNN's Dana Bash on guns, brings up Harris' past remarks on school shootings",fox,7,https://www.foxnews.com/media/tom-cotton-turns-tables-cnns-dana-bash-guns-brings-up-harris-past-remarks-school-shootings
"Kamala rides tsunami of positive press, but skeptics see a risky choice",fox,8,https://www.foxnews.com/politics/kamala-rides-tsunami-positive-press-skeptics-see-risky-choice
Harris' running mate faces renewed scrutiny after his 'weird' socialism comparison resurfaces,fox,9,https://www.foxnews.com/politics/harris-running-mate-faces-renewed-scrutiny-weird-socialism-comparison-resurfaces
"Israeli-American reservist killed by Hezbollah missile in Israel, IDF says",fox,10,https://www.foxnews.com/world/israeli-american-reservist-killed-hezbollah-missile-israel-idf-says
"David McCullough, American historian and Presidential Medal of Freedom recipient, dies at 89",fox,11,https://www.foxnews.com/us/david-mccullough-american-historian-presidential-medal-freedom-recipient-dies
Web designer who refuses to create sites for same-sex weddings says Colorado law violates free speech rights,fox,12,https://www.foxnews.com/politics/lorie-smith-web-designer-free-speech
Simon Cowell reveals how his son changed his judging style: ‘I have much more empathy’,fox,13,https://www.foxnews.com/entertainment/simon-cowell-reveals-son-changed-judging-style-empathy
Rare Disease Day: Walking Dead Syndrome and other rare conditions baffle doctors and researchers,fox,14,https://www.foxnews.com/lifestyle/walking-dead-syndrome-rare-conditions-baffle-doctors-researchers
CNN calls out Harris for using Trump's border wall in campaign ad after condemning it for years,fox,15,https://www.foxnews.com/media/cnn-calls-out-harris-using-trumps-border-wall-campaign-ad-after-condemning-years
"Taylor Swift steals NYC spotlight during dinner with Blake Lively, Sophie Turner and Brittany Mahomes",fox,16,https://www.foxnews.com/entertainment/taylor-swift-steals-nyc-spotlight-dinner-blake-lively-sophie-turner-brittany-mahomes
"Ozempic, the happy drug? Study suggests weight-loss medications could reduce depression, anxiety",fox,17,https://www.foxnews.com/health/ozempic-happy-drug-study-suggests-weight-loss-medications-reduce-depression-anxiety
Pennsylvania family sickened after eating toxic mushrooms expected to recover,fox,18,https://www.foxnews.com/food-drink/pennsylvania-family-sickened-after-eating-toxic-mushrooms-expected-recover.print
Family selling dream home to fund life-saving treatment for 5-year-old daughter,fox,19,https://www.foxnews.com/health/family-selling-dream-home-fund-life-saving-treatment-daughter.print
"Israel declares war after Hamas surprise attack, launches retaliatory airstrikes in Gaza",fox,20,https://www.foxnews.com/world/israel-strikes-hamas-gaza-surprise-attack-exchanges-fire-hezbollah
"Taylor Swift, Travis Kelce get support from family after surprise 'Eras Tour' stage appearance",fox,21,https://www.foxnews.com/entertainment/taylor-swift-travis-kelce-get-support-from-family-after-surprise-eras-tour-stage-appearance
"The Doors' Jim Morrison had ‘a fascination with death’ before passing away at 27, bandmate Robby Krieger says",fox,22,https://www.foxnews.com/entertainment/jim-morrison-the-doors-memoir-robby-krieger
Walz repeats Georgia abortion death falsehood decried by doctors as 'fearmongering',fox,23,https://www.foxnews.com/politics/walz-repeats-georgia-abortion-death-falsehood-decried-doctors-fearmongering
"Harris campaign won't give details on type of gun she owns, last time she went to range",fox,24,https://www.foxnews.com/politics/harris-campaign-wont-give-details-type-gun-she-owns-last-time-she-went-range
"Utah mom kept missing daughter, 5, hidden in cult 'compound' for months with help from adult sons: prosecutors",fox,25,https://www.foxnews.com/us/utah-mom-kept-missing-daughter-hidden-cult-compound-months-help-from-adult-sons-prosecutors
"Kamala Harris' far-left record dismissed as 'accusations,' attacks from Trump and GOP: 'She's moderate'",fox,26,https://www.foxnews.com/media/kamala-harris-far-left-record-dismissed-accusations-attacks-from-trump-gop-shes-moderate
Israel Defense Forces confirm 'targeted strike' on Beirut,fox,27,https://www.foxnews.com/world/israel-defense-forces-confirm-targeted-strike-beirut
"Pope Emeritus Benedict XVI dead at 95, Vatican says",fox,28,https://www.foxnews.com/world/pope-emeritus-benedict-xvi-dead-95-vatican-says
Sheldon Whitehouse doesn't denounce super-exclusive beach club his family belongs to,fox,29,https://www.foxnews.com/politics/sheldon-whitehouse-doesnt-denounce-all-white-beach-club-his-family-belongs-to
San Jose State women's volleyball's trans player raises eyebrows with brutal spike vs New Mexico,fox,30,https://www.foxnews.com/sports/san-jose-state-womens-volleyballs-trans-player-raises-eyebrows-brutal-spike-vs-new-mexico.print
'Star Wars' actress Carrie Fisher honored with star on Hollywood Walk of Fame amid family drama,fox,31,https://www.foxnews.com/entertainment/star-wars-actress-carrie-fisher-honored-star-hollywood-walk-of-fame-amid-family-drama
"AOC fires back at Fetterman, accuses him of 'bleak dunk attempt'",fox,32,https://www.foxnews.com/politics/aoc-fires-back-fetterman-accuses-him-bleak-dunk-attempt
"Harris calls for Americans to 'move past the failed policies' in November, draws mockery",fox,33,https://www.foxnews.com/media/harris-calls-americans-move-past-failed-policies-november-draws-mockery.print
"Jake E Lee, former guitarist for Ozzy Osbourne, ‘broke a rib and damaged a lung’ after being shot at 3 times",fox,34,https://www.foxnews.com/entertainment/jake-e-lee-guitarist-ozzy-osbourne-broke-rib-damaged-lung-shot-3-times.print
Nevada women's volleyball captain slams trans athletes in her sport as team decides against players’ refusal,fox,35,https://www.foxnews.com/sports/nevada-womens-volleyball-captain-slams-trans-athletes-her-sport-team-decides-against-players-refusal.print
JD Vance calls out 'deranged' mindset that we need illegal immigrants to build houses,fox,36,https://www.foxnews.com/media/jd-vance-calls-out-deranged-mindset-we-need-illegal-immigrants-build-houses
"Meet the American who created bubble gum, Walter Diemer, home-kitchen chemist outwitted scientists",fox,37,https://www.foxnews.com/lifestyle/meet-american-who-created-bubble-gum-walter-diemer-home-kitchen-chemist-outwitted-scientists
Biden campaign sends all-staff memo hoping to calm post-debate concerns,fox,38,https://www.foxnews.com/politics/biden-campaign-sends-all-staff-memo-hoping-calm-post-debate-concerns-report
"Trump and Harris in toss-up races in key swing states Pennsylvania, Georgia, Nevada: poll",fox,39,https://www.foxnews.com/politics/trump-harris-toss-up-races-key-swing-states-pennsylvania-georgia-nevada-poll.print
"Harris supporters say she'll fix immigration, blame Trump for border crisis",fox,40,https://www.foxnews.com/politics/harris-supporters-say-shell-fix-immigration-blame-trump-for-border-crisis-immigration-blame-trump-border-crisis
"Israel says it conducted retaliatory strikes against Hezbollah in Lebanon, struck Hamas in Gaza",fox,41,https://www.foxnews.com/world/israel-says-conducted-retaliatory-strikes-against-hezbollah-lebanon-struck-hamas-gaza.print
Harrison Ford mocks Conan O’Brien after 'Star Wars' dis: ‘You can't f---ing remember',fox,42,https://www.foxnews.com/entertainment/harrison-ford-mocks-conan-obrien-star-wars-dis-cant-f-ing-remember
Franklin Graham's Samaritan's Purse sponsors 21 ambulances in Israel to replace those destroyed by Hamas,fox,43,https://www.foxnews.com/lifestyle/franklin-grahams-samaritans-purse-sponsors-21-ambulances-israel-replace-destroyed-hamas
Bruce Willis shares sweet embrace with daughter Tallulah and makes funny faces in playful snaps,fox,44,https://www.foxnews.com/entertainment/bruce-willis-shares-sweet-embrace-daughter-tallulah-makes-funny-faces-playful-snaps.print
How Secret Service protocol has changed amid presidential assassination attempts through the years,fox,45,https://www.foxnews.com/politics/secret-service-protocol-changed-amid-presidential-assassination-attempts-through-years
"Hezbollah hits Israel with deadliest attack in months-long conflict, IDF says, raising fears of escalation",fox,46,https://www.foxnews.com/world/hezbollah-hits-israel-deadliest-attack-months-long-conflict-idf-says-raising-fears-escalation.print
Fox Nation to debut new American history series hosted by Kelsey Grammer,fox,47,https://www.foxnews.com/media/fox-nation-debut-american-history-series-kelsey-grammer
